"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-01-01 ~ 2026-06-25"
"실거래구분 : 상업업무용(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","매수","매도","계약년월","계약일","지분구분","건축년도","해제사유발생일","거래유형","중개사소재지"
"50","서울특별시 송파구 신천동","집합","17-4","올림픽로37길","제3종일반주거","기타","25m미만","54.59"," ","70,000","3","개인","개인","202606","19","","2008","-","중개거래","서울 송파구"
"51","서울특별시 서초구 서초동","집합","1362-27","강남대로","일반상업","제2종근린생활","25m이상","62.48"," ","76,392","","법인","법인","202606","19","","","-","직거래","-"
"52","서울특별시 서대문구 홍은동","집합","192-11","연희로41나길","제2종일반주거","제2종근린생활","8m미만","72.11"," ","20,000","2","개인","개인","202606","19","","2016","-","중개거래","서울 서대문구"
"53","서울특별시 서초구 서초동","집합","1362-27","강남대로","일반상업","제2종근린생활","25m이상","94.05"," ","112,692","","법인","법인","202606","19","","","-","직거래","-"
"54","서울특별시 서초구 서초동","집합","1362-27","강남대로","일반상업","제2종근린생활","25m이상","94.51"," ","125,153","","법인","법인","202606","19","","","-","직거래","-"
"55","서울특별시 서초구 서초동","집합","1362-27","강남대로","일반상업","제2종근린생활","25m이상","53.27"," ","84,519","","법인","법인","202606","19","","","-","직거래","-"
"56","서울특별시 서초구 서초동","집합","1362-27","강남대로","일반상업","제2종근린생활","25m이상","117.32"," ","140,323","","법인","법인","202606","19","","","-","직거래","-"
"57","서울특별시 서초구 서초동","집합","1362-27","강남대로","일반상업","제2종근린생활","25m이상","92.68"," ","144,115","","법인","법인","202606","19","","","-","직거래","-"
"58","서울특별시 서초구 서초동","집합","1362-27","강남대로","일반상업","제2종근린생활","25m이상","94.53"," ","146,824","","법인","법인","202606","19","","","-","직거래","-"
"59","서울특별시 영등포구 영등포동5가","집합","24","영등포로37길","일반상업","제1종근린생활","8m미만","347.44"," ","67,700","","개인","개인","202606","18","지분","1971","-","직거래","-"
"60","서울특별시 종로구 인의동","집합","48-2","종로","일반상업","판매","25m이상","11.18"," ","5,350","","개인","개인","202606","18","","2006","-","직거래","-"
"61","서울특별시 중구 필동1가","집합","43-1","충무로","일반상업","숙박","25m이상","16.61"," ","33,000","11","개인","개인","202606","18","","2023","-","중개거래","서울 중구"
"62","서울특별시 도봉구 창동","집합","5-1","마들로11가길","일반상업","제2종근린생활","12m미만","23.40"," ","57,500","","개인","개인","202606","18","","1991","-","중개거래","서울 도봉구"
"63","서울특별시 종로구 인의동","집합","48-2","종로","일반상업","판매","25m이상","11.18"," ","5,300","","개인","개인","202606","18","","2006","-","직거래","-"
"64","서울특별시 노원구 중계동","집합","591","한글비석로","제3종일반주거","제1종근린생활","25m미만","8.75"," ","1,800","","개인","개인","202606","18","","2000","-","중개거래","서울 노원구"
"65","서울특별시 구로구 구로동","집합","636-62","경인로54길","준공업","업무","25m이상","14.22"," ","9,500","","개인","개인","202606","18","","1995","-","중개거래","서울 구로구, 서울 도봉구"
"66","서울특별시 강서구 마곡동","집합","797-11","마곡중앙6로","일반상업","숙박","25m미만","15.47"," ","7,400","3","개인","개인","202606","18","지분","2015","-","중개거래","서울 양천구"
"67","서울특별시 광진구 화양동","집합","7-3","아차산로","일반상업","업무","25m이상","32.56"," ","20,700","6","개인","개인","202606","18","","2006","-","중개거래","서울 광진구"
"68","서울특별시 종로구 인의동","집합","48-2","종로","일반상업","판매","25m이상","11.18"," ","5,350","","개인","개인","202606","18","","2006","-","직거래","-"
"69","서울특별시 중구 주교동","집합","19-1","동호로37길","일반상업","제1종근린생활","12m미만","15.44"," ","16,000","","개인","개인","202606","18","","1976","-","중개거래","서울 중구"
"70","서울특별시 중구 주교동","집합","19-1","동호로37길","일반상업","제1종근린생활","12m미만","15.44"," ","10,800","","개인","개인","202606","18","","1976","-","중개거래","서울 중구"
"71","서울특별시 영등포구 영등포동3가","집합","9-13","영중로","일반상업","제2종근린생활","25m이상","4.12"," ","1,500","","법인","개인","202606","18","지분","2005","-","직거래","-"
"72","서울특별시 영등포구 영등포동3가","집합","7","영중로","일반상업","판매","25m이상","4.96"," ","7,500","","법인","개인","202606","18","","2005","-","직거래","-"
"73","서울특별시 영등포구 영등포동3가","집합","7","영중로","일반상업","판매","25m이상","4.96"," ","7,500","","법인","개인","202606","18","","2005","-","직거래","-"
"74","서울특별시 송파구 문정동","집합","634","충민로","유통상업","판매","25m이상","22.68"," ","5,500","","법인","개인","202606","18","","2008","-","중개거래","서울 송파구"
"75","서울특별시 종로구 돈의동","집합","137","돈화문로5가길","일반상업","판매","8m미만","4.99"," ","4,000","","개인","개인","202606","18","","2004","-","직거래","-"
"76","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","판매","25m이상","3.77"," ","2,900","","법인","개인","202606","17","","2002","-","직거래","-"
"77","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","판매","25m이상","3.77"," ","2,700","","법인","개인","202606","17","","2002","-","직거래","-"
"78","서울특별시 강북구 우이동","집합","346","삼양로","자연녹지","숙박","12m미만","14.02"," ","18,000","6","개인","개인","202606","17","지분","2021","-","직거래","-"
"79","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","기타","25m이상","3.77"," ","1,950","","법인","개인","202606","17","","2002","-","직거래","-"
"80","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","판매","25m이상","3.77"," ","2,900","","법인","개인","202606","17","","2002","-","직거래","-"
"81","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","판매","25m이상","4.96"," ","2,500","","법인","개인","202606","17","","2002","-","직거래","-"
"82","서울특별시 마포구 염리동","집합","10-152","숭문16나길","제3종일반주거","제2종근린생활","12m미만","34.16"," ","43,000","1","개인","개인","202606","17","","2021","-","중개거래","대구 수성구, 서울 마포구"
"83","서울특별시 영등포구 문래동5가","집합","1","선유로","준공업","제2종근린생활","25m이상","93.58"," ","67,500","","개인","개인","202606","17","","2000","-","중개거래","서울 영등포구"
"84","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","판매","25m이상","3.77"," ","2,000","","법인","개인","202606","17","","2002","-","직거래","-"
"85","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","판매","25m이상","3.77"," ","2,000","","법인","개인","202606","17","","2002","-","직거래","-"
"86","서울특별시 마포구 동교동","집합","165-8","양화로","근린상업","제2종근린생활","25m이상","24.97"," ","19,500","","법인","개인","202606","17","","1999","-","직거래","-"
"87","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","판매","25m이상","3.77"," ","2,900","","법인","개인","202606","17","","2002","-","직거래","-"
"88","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","판매","25m이상","5.64"," ","2,700","","법인","개인","202606","17","","2002","-","직거래","-"
"89","서울특별시 동작구 신대방동","집합","724","여의대방로22길","준주거","제2종근린생활","25m미만","47.68"," ","50,500","24","법인","개인","202606","17","","2021","-","직거래","-"
"90","서울특별시 영등포구 여의도동","집합","44-5","여의대방로69길","일반상업","제1종근린생활","25m미만","45.95"," ","40,000","1","개인","개인","202606","17","","","-","중개거래","서울 영등포구"
"91","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","판매","25m이상","3.77"," ","2,900","","법인","개인","202606","17","","2002","-","직거래","-"
"92","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","판매","25m이상","5.28"," ","2,700","","법인","개인","202606","17","","2002","-","직거래","-"
"93","서울특별시 강서구 등촌동","집합","574-1","등촌로13나길","제2종일반주거","제2종근린생활","8m미만","28.31"," ","10,000","1","개인","개인","202606","17","","2016","-","중개거래","서울 강서구"
"94","서울특별시 송파구 가락동","집합","913","송파대로","제3종일반주거","제2종근린생활","25m이상","44.28"," ","74,000","30","개인","개인","202606","17","","2018","-","중개거래","서울 송파구"
"95","서울특별시 강남구 개포동","집합","13-3","개포로","일반상업","업무","25m이상","32.44"," ","23,500","26","개인","개인","202606","16","","1997","-","중개거래","경기 하남시"
"96","서울특별시 송파구 신천동","집합","7-28","올림픽로","일반상업","제2종근린생활","25m미만","5.45"," ","2,750","","개인","개인","202606","16","","1996","-","직거래","-"
"97","서울특별시 광진구 군자동","일반","1**","천호대로102길","제2종일반주거","제2종근린생활","12m미만","363.47","175.00","213,000","","개인","개인","202606","16","","2024","-","직거래","-"
"98","서울특별시 송파구 신천동","집합","7-28","올림픽로","일반상업","제2종근린생활","25m미만","5.56"," ","2,750","","개인","개인","202606","16","","1996","-","직거래","-"
"99","서울특별시 송파구 신천동","집합","7-28","올림픽로","일반상업","제2종근린생활","25m미만","7.60"," ","2,750","","개인","개인","202606","16","","1996","-","직거래","-"
"100","서울특별시 용산구 한강로2가","집합","14-18","청파로","제3종일반주거","업무","12m미만","33.93"," ","21,500","6","개인","개인","202606","16","","2010","-","중개거래","서울 용산구"
"101","서울특별시 송파구 신천동","집합","7-28","올림픽로","일반상업","제2종근린생활","25m미만","5.45"," ","2,750","","개인","개인","202606","16","","1996","-","직거래","-"
"102","서울특별시 송파구 신천동","집합","7-28","올림픽로","일반상업","제2종근린생활","25m미만","7.60"," ","2,750","","개인","개인","202606","16","","1996","-","직거래","-"
"103","서울특별시 송파구 신천동","집합","7-28","올림픽로","일반상업","제2종근린생활","25m미만","5.56"," ","2,750","","개인","개인","202606","16","","1996","-","직거래","-"
"104","서울특별시 노원구 중계동","일반","5**","동일로203가길","일반상업","판매","25m미만","49.59","6.99","3,600","","개인","개인","202606","16","지분","1991","-","직거래","-"
"105","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","판매","25m이상","3.77"," ","2,950","","법인","개인","202606","15","","2002","-","직거래","-"
"106","서울특별시 서초구 서초동","집합","1303-16","서초대로77길","일반상업","제1종근린생활","25m미만","33.70"," ","48,640","","개인","개인","202606","15","지분","2013","-","직거래","-"
"107","서울특별시 구로구 구로동","집합","636-62","경인로54길","준공업","업무","25m이상","56.13"," ","9,500","","개인","개인","202606","15","","1995","-","직거래","-"
"108","서울특별시 종로구 종로5가","일반","1**","종로","일반상업","제1종근린생활","25m이상","274.38","135.50","780,000","","법인","개인","202606","15","","1958","-","중개거래","서울 종로구"
"109","서울특별시 동대문구 제기동","집합","1140-5","왕산로","일반상업","제1종근린생활","25m이상","4.50"," ","600","","개인","개인","202606","15","","2007","-","직거래","-"
"110","서울특별시 서초구 서초동","집합","1303-16","서초대로77길","일반상업","제1종근린생활","25m미만","47.10"," ","68,000","","개인","개인","202606","15","지분","2013","-","직거래","-"
"111","서울특별시 동대문구 제기동","집합","1140-5","왕산로","일반상업","제1종근린생활","25m이상","4.50"," ","600","","개인","개인","202606","15","","2007","-","직거래","-"
"112","서울특별시 중구 신당동","집합","198-3","마장로","일반상업","판매","25m미만","4.95"," ","23,000","","개인","개인","202606","15","","1999","-","직거래","-"
"113","서울특별시 중구 을지로6가","집합","18-21","장충단로","일반상업","판매","25m이상","3.50"," ","1,200","","개인","개인","202606","15","","2008","-","중개거래","서울 중구"
"114","서울특별시 종로구 돈의동","일반","1**","돈화문로9길","일반상업","제2종근린생활","8m미만","28.39","19.80","12,500","","개인","개인","202606","15","","","-","직거래","-"
"115","서울특별시 용산구 후암동","집합","115-4","후암로35길","제2종일반주거","기타","8m미만","16.69"," ","28,700","2","법인","개인","202606","15","","1976","-","중개거래","서울 용산구"
"116","서울특별시 송파구 마천동","집합","181","마천로","제2종일반주거","제1종근린생활","25m이상","8.68"," ","3,900","1","개인","개인","202606","15","","1998","-","직거래","-"
"117","서울특별시 송파구 마천동","집합","181","마천로","제2종일반주거","제1종근린생활","25m이상","8.68"," ","3,100","1","개인","개인","202606","15","","1998","20260622","직거래","-"
"118","서울특별시 관악구 신림동","집합","541","조원로16길","제2종일반주거","판매","8m미만","11.90"," ","5,000","","개인","개인","202606","15","지분","1978","-","중개거래","서울 서대문구"
"119","서울특별시 영등포구 문래동2가","일반","4*","도림로125길","준공업","제2종근린생활","8m미만","358.01","41.82","550,000","","법인","법인","202606","15","","1964","-","중개거래","서울 서초구"
"120","서울특별시 중구 남창동","집합","5","남대문시장8길","일반상업","판매","12m미만","9.31"," ","250","","개인","개인","202606","15","지분","1986","-","직거래","-"
"121","서울특별시 중구 남창동","집합","5","남대문시장8길","일반상업","판매","12m미만","9.26"," ","250","","개인","개인","202606","15","지분","1986","-","직거래","-"
"122","서울특별시 영등포구 영등포동3가","집합","9-13","영중로","일반상업","판매","25m이상","4.96"," ","2,200","","법인","개인","202606","15","","2005","-","직거래","-"
"123","서울특별시 동대문구 제기동","집합","1140-5","왕산로","일반상업","판매","25m이상","5.86"," ","500","","개인","개인","202606","15","","2007","-","직거래","-"
"124","서울특별시 동대문구 제기동","집합","1140-5","왕산로","일반상업","판매","25m이상","4.50"," ","500","","개인","개인","202606","15","","2007","-","직거래","-"
"125","서울특별시 노원구 상계동","집합","1373-2","덕릉로","제2종일반주거","제1종근린생활","25m이상","37.68"," ","31,950","10","법인","개인","202606","15","","2005","-","직거래","-"
"126","서울특별시 동대문구 제기동","집합","1140-5","왕산로","일반상업","제1종근린생활","25m이상","4.86"," ","600","","개인","개인","202606","15","","2007","-","직거래","-"
"127","서울특별시 서초구 서초동","집합","1303-16","서초대로77길","일반상업","제1종근린생활","25m미만","24.65"," ","35,600","","개인","개인","202606","15","지분","2013","-","직거래","-"
"128","서울특별시 중구 을지로6가","집합","18-21","장충단로","일반상업","판매","25m이상","3.56"," ","1,000","","개인","개인","202606","15","","2008","-","직거래","-"
"129","서울특별시 광진구 구의동","집합","546-4","광나루로56길","준주거","판매","25m이상","11.07"," ","700","","개인","개인","202606","15","","","-","중개거래","서울 광진구"
"130","서울특별시 광진구 구의동","집합","546-4","광나루로56길","준주거","판매","25m이상","11.07"," ","700","","개인","개인","202606","15","","","-","중개거래","서울 광진구"
"131","서울특별시 중구 을지로6가","집합","18-35","장충단로","일반상업","기타","25m이상","8.42"," ","7,000","9","법인","개인","202606","15","","2002","-","직거래","-"
"132","서울특별시 강남구 청담동","집합","122-35","도산대로85길","제2종일반주거","판매","8m미만","14.00"," ","23,000","1","개인","개인","202606","14","","","-","중개거래","서울 강남구"
"133","서울특별시 영등포구 여의도동","집합","43","국제금융로","일반상업","업무","25m이상","78.75"," ","97,000","6","개인","개인","202606","13","","1984","-","중개거래","서울 영등포구"
"134","서울특별시 용산구 한강로2가","집합","15-47","","일반상업","판매","12m미만","12.95"," ","45,000","10","개인","법인","202606","13","","","-","중개거래","서울 용산구"
"135","서울특별시 동대문구 장안동","집합","347-8","장한로18길","제3종일반주거","제1종근린생활","12m미만","237.18"," ","49,000","3","개인","개인","202606","13","","2006","-","중개거래","서울 동대문구"
"136","서울특별시 강서구 등촌동","집합","637","화곡로68길","준공업","기타","12m미만","59.99"," ","27,000","5","개인","개인","202606","13","","2007","-","중개거래","서울 강서구"
"137","서울특별시 서초구 양재동","일반","2**","언남7길","제2종일반주거","제2종근린생활","8m미만","182.52","122.60","257,000","","개인","법인","202606","12","","1988","-","중개거래","서울 강남구"
"138","서울특별시 강동구 강일동","집합","670","아리수로97길","제2종일반주거","제2종근린생활","25m이상","25.92"," ","11,500","2","개인","개인","202606","12","","2009","-","중개거래","서울 강동구"
"139","서울특별시 관악구 봉천동","일반","1***","남부순환로","제3종일반주거","제1종근린생활","25m이상","2925.01","694.50","1,525,000","","법인","법인","202606","12","","2008","-","중개거래","서울 관악구"
"140","서울특별시 중구 충무로2가","집합","65-9","퇴계로","중심상업","판매","25m이상","3.47"," ","22,000","11","개인","개인","202606","12","","2006","-","직거래","-"
"141","서울특별시 양천구 신월동","집합","558-1","남부순환로","제3종일반주거","제2종근린생활","25m이상","186.32"," ","65,000","2","개인","개인","202606","12","","1997","-","중개거래","서울 양천구"
"142","서울특별시 구로구 구로동","집합","610-8","경인로55길","준공업","업무","12m미만","33.75"," ","25,000","","법인","개인","202606","12","","1986","-","직거래","-"
"143","서울특별시 금천구 독산동","일반","2**","가산로3길","준공업","제2종근린생활","12m미만","203.74","164.30","170,000","","법인","개인","202606","12","","1976","-","중개거래","서울 금천구"
"144","서울특별시 금천구 시흥동","집합","984","시흥대로","준공업","제2종근린생활","25m이상","22.86"," ","18,900","2","개인","개인","202606","12","","","-","중개거래","서울 금천구"
"145","서울특별시 종로구 내자동","일반","2**","새문안로5가길","일반상업","업무","25m미만","13007.82","1263.10","10,800,000","","법인","법인","202606","12","","2000","-","직거래","-"
"146","서울특별시 영등포구 영등포동5가","집합","24","영등포로37길","일반상업","제2종근린생활","8m미만","11.57"," ","43,000","","개인","개인","202606","12","","1971","-","중개거래","서울 영등포구"
"147","서울특별시 강남구 대치동","일반","9**","도곡로63길","제2종일반주거","제2종근린생활","12m미만","351.21","277.40","1,150,000","","법인","개인","202606","12","","2011","-","중개거래","서울 강남구"
"148","서울특별시 용산구 동빙고동","집합","89-1","서빙고로75길","제3종일반주거","제2종근린생활","8m미만","31.14"," ","255,000","","개인","개인","202606","12","","","-","중개거래","서울 용산구"
"149","서울특별시 양천구 목동","집합","923","목동서로","일반상업","제2종근린생활","25m이상","26.86"," ","55,000","1","개인","개인","202606","11","","1996","-","중개거래","서울 양천구"
"150","서울특별시 금천구 가산동","집합","481-11","가마산로","준공업","업무","25m이상","136.94"," ","52,178","8","법인","법인","202606","11","","2004","-","직거래","-"
